dev_row,dev_id,bias_norm,aligned_pred,alignment_strength,alignment_score,dev_cue_span,probe_pair_id,probe_cue_span,notes
14,4038,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:6,this approach seems popular,"Both mention popularity, but phrasing differs slightly."
15,7427,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:8,A lot of people in the team think Option B is a practical and efficient solution,"Both mention popularity/team consensus, but phrasing differs."
16,1403,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
17,3107,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue in the candidate.
18,7348,confirmation bias,0,none,0.0,,,,No clear confirmation-seeking cue in DevGPT text.
19,10565,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue span found in DevGPT text.
20,16010,confirmation bias,1,weak,0.4,Ok?,augmented_dilemmas_dataset_gpt-4o-mini:5,I think it’s essential to stick to the original plan.,Weak alignment via confirmation-seeking phrasing.
21,21864,confirmation bias,1,weak,0.4,Shouldn't we check for that above the loop and then short circuit the loop if we the value of find is found just once?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,I've always found unit tests sufficient for catching most issues. End-to-end tests seem time-consuming and may not add much value.,"Both express a preference based on prior experience, but phrasing differs."
22,22731,confirmation bias,1,weak,0.4,correct me if i'm wrong,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:10,"From what I’ve seen before, adding more people is usually the fastest way to get things done:",DevGPT uses a correction-seeking cue; probe uses a confirmation-seeking cue.
23,24383,confirmation bias,1,weak,0.6,Am I right?,augmented_dilemmas_dataset_gpt-4o-mini:3,right?,"Both use tag-questions, but phrasing differs slightly."
24,30268,confirmation bias,1,weak,0.6,What do you think? Or is this not a good way? Is it easy to write it for that?,augmented_dilemmas_dataset_gpt-4o-mini:6,"I often think that upgrading the existing server's capacity (Option B) is a straightforward and effective solution, as it feels like a quick…","Both show seeking validation, but surface forms differ."
25,32856,confirmation bias,1,weak,0.4,Do you agree? Explain your reasoning.,augmented_dilemmas_dataset_gpt-4o-mini:6,"To me, it seems like it's often better to just push new features and explain what users need to do (Option B).","Both use personal judgment phrasing, but the match is not strong."
26,35383,confirmation bias,1,weak,0.4,I think you're wrong. I think pg does use ~/.pgpass because it works when I run it locally.,augmented_dilemmas_dataset_gpt-4o-mini:7,Am I right?,"Both show confirmation-seeking, but surface form differs."
27,35496,confirmation bias,1,weak,0.4,I guess it's better than no parallelization regardless of how big the array is right?,augmented_dilemmas_dataset_gpt-4o-mini:6,"In my experience, fetching all data upfront (Option A) really makes the app feel ready and smooth right from the start, so that's what I wou…",Both show confirmation-seeking through tentative statements.
28,2311,confirmation bias,1,weak,0.4,unless I'm missing something,augmented_dilemmas_dataset_gpt-4.1-mini:4,I feel it would be unfair,Both show confirmation-seeking language but with different phrasing.
29,7465,confirmation bias,1,weak,0.4,right,augmented_dilemmas_dataset_gpt-4o-mini:6,right,Both use 'right' as a confirmation-seeking cue.
30,8487,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue span found in DevGPT text.
31,9254,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the candidate.
32,11712,confirmation bias,1,weak,0.6,"So the API endpoint would be the most flexible solution? I need CSR first, and second, isn't session ending when you close the page?",augmented_dilemmas_dataset_gpt-4.1-mini:6,"From my past experience, storing session IDs in localStorage feels way more flexible and easy, so","Both show preference-seeking language, but phrasing differs."
33,11830,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:3,best for authentication.,Both use confirmation-seeking language but with different phrasing.
34,15252,confirmation bias,1,weak,0.4,Vad tror du? Låter det bra är det bara att köra på,augmented_dilemmas_dataset_gpt-4.1-mini:7,I tend to trust manual updates because they feel more under control and straightforward.,Weak alignment in confirmation-seeking tone.
35,16292,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
36,17802,confirmation bias,1,weak,0.4,you mentioned right?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,Many developers I’ve spoken to have mentioned,Weak alignment via mention-based confirmation-seeking.
37,20191,confirmation bias,0,none,0.0,,,,No clear confirmation-seeking cue in DevGPT text.
38,24323,confirmation bias,1,weak,0.6,isn't?,augmented_dilemmas_dataset_gpt-4o-mini:7,right?,Both use tag questions to seek confirmation.
39,25225,confirmation bias,1,weak,0.4,should be ok because it works in the command line,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,"tend to be better supported in the long run, even if they’re heavier",Both show reasoning to support existing assumptions.
40,27515,confirmation bias,1,weak,0.4,je crois que,augmented_dilemmas_dataset_gpt-4o-mini:4,I recall how,Both show a form of seeking validation or recalling prior beliefs.
41,31251,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,right?,Both use 'right?' as a confirmation-seeking cue.
42,32858,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,It’s worth the inconvenience…,"Both use rhetorical cues, but surface forms differ."
43,18183,confirmation bias,1,weak,0.6,but wont setup-python do that?,augmented_dilemmas_dataset_gpt-4o-mini:3,I’ve always found that the simpler username and password setup (Option A) works perfectly fine,"Both show mild confirmation-seeking, but phrasing differs."
44,31249,confirmation bias,1,weak,0.4,Do I understand this correctly?,augmented_dilemmas_dataset_gpt-4.1-mini:4,so refactoring isn’t always worth…,"Both show confirmation-seeking, but surface alignment is weak."
45,32192,confirmation bias,1,weak,0.4,Done should the values be different than they are?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,End-to-end tests seem time-consuming and may not add much value.,Both show tentative questioning about assumptions.
46,474,framing effect,1,weak,0.4,this is clearly a hard problem,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,"problem for the future, but does nothing for the current crisis",Weak alignment via framing of problem difficulty and urgency.
47,1512,framing effect,1,weak,0.4,what's wrong with using babel?,augmented_dilemmas_dataset_gpt-4o-mini:7,and who doesn’t love a quick solution—even if it’s risky?,"Both involve evaluative framing of solutions, but phrasing differs."
48,2313,framing effect,1,weak,0.4,I don't want to take that gamble for what I'm building,augmented_dilemmas_dataset_gpt-4.1-mini:6,"Spending extra time and resources building and testing every pull request, even though it will slow down",Weak alignment on risk-aversion framing.
49,4029,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
50,8488,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:4,why fix what’s not imminently broken,Weak alignment via similar phrasing of framing rationale.
51,11638,framing effect,1,weak,0.4,I was so hopeful,augmented_dilemmas_dataset_gpt-4o-mini:6,might just work out fine if we don’t go overboard,Weak alignment via evaluative framing of outcomes.
52,18455,framing effect,1,weak,0.4,I think a tailwind class should be enough,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,it’s cleaner,Weak alignment via preference framing.
53,19490,framing effect,0,none,0.0,,,,No analogous cue span found in the candidates.
54,19560,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
55,23598,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
56,24417,framing effect,1,weak,0.4,overkill,augmented_dilemmas_dataset_gpt-4.1-mini:4,overkill,Weak alignment on 'overkill' as evaluative cue.
57,25733,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,"now to stay competitive, even if the codebase gets a bit messier in the process",Both involve trade-offs framed as positive actions.
58,26437,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,Scrap two weeks of feature development to chase a perfect,Weak alignment via evaluative framing of 'exciting' vs 'perfect'.
59,26439,framing effect,1,weak,0.4,plz have the perfect css and perfect java script,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,Scrap two weeks of feature development to chase a perfect,Weak alignment on 'perfect' as evaluative cue.
60,27378,framing effect,1,weak,0.4,starting the code fresh,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,Bring in a fresh pair of hands,Weak alignment via 'fresh' as cue for new approach.
61,834,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
62,1506,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:3,"one-day fix and patch things up, even though it's just a",Weak alignment via action-oriented phrasing.
63,3627,framing effect,0,none,0.0,,,,No analogous cue span found in candidates.
64,5278,framing effect,0,none,0.0,,,,No analogous cue span found in the provided text.
65,5387,framing effect,1,strong,0.9,exciting,augmented_dilemmas_dataset_gpt-4.1-mini:3,exciting,Shared evaluative adjective 'exciting' shows strong framing alignment.
66,20496,framing effect,1,weak,0.4,It is important to show off complexity and many lines of code.,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,that might not even catch anything important.,Weak alignment via focus on importance vs. negligible impact.
67,3185,framing effect,0,none,0.0,,,,No analogous cue span found in the provided candidates.
68,5392,framing effect,1,weak,0.4,exciting css,augmented_dilemmas_dataset_gpt-4.1-mini:3,exciting to release now,Weak alignment via shared evaluative adjective 'exciting'.
69,5425,framing effect,1,weak,0.6,look awesome like a New Yorker article,augmented_dilemmas_dataset_gpt-4o-mini:5,look good enough for now,Weak alignment via evaluative framing of appearance.
70,35372,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
71,35151,hindsight bias,1,weak,0.4,it is proved that the edge detection prior to the template matching was not a good idea,augmented_dilemmas_dataset_gpt-4o-mini:5,"Unfortunately, right after the update, several users reported potential data leaks indicating that not all requirements were met.",Weak alignment: both express hindsight realization of a mistake.
72,3998,hindsight bias,1,weak,0.4,"should've failed, and it did",augmented_dilemmas_dataset_gpt-4.1-mini:3,some users mysteriously reported failed,Weak alignment on failure outcome phrasing.
73,27078,hindsight bias,1,weak,0.4,i should have mentioned that the reset should come before the mode set,augmented_dilemmas_dataset_gpt-4o-mini:5,should have been addressed,Weak alignment due to self-correction vs outcome-known narrative.
74,27473,hindsight bias,0,none,0.0,,,,No analogous cue span found in DevGPT or PROBE.
75,28994,hindsight bias,0,none,0.0,,,,No analogous cue span found in the provided probe.
76,5013,hyperbolic discounting,1,weak,0.4,how do I use it?,augmented_dilemmas_dataset_gpt-4.1-mini:5,"code, which is less work immediately. I think avoiding extra setup work is better.",Both show preference for immediate simplicity over extra effort.
77,19544,hyperbolic discounting,0,none,0.0,,,,No analogous cue span for hyperbolic discounting in the text.
78,20446,hyperbolic discounting,1,weak,0.4,"i do not see a way to solve this problem. Maybe, we can remove the albedo or main texture completely and just make the shader blue",augmented_dilemmas_dataset_gpt-4o-mini:7,This will take several weeks. I think we should just make the changes quickly.,"Both show impatience, but the DevGPT cue is more about avoidance than urgency."
79,30204,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:4,the fastest option is better,Weak alignment on present-focus markers.
80,32290,hyperbolic discounting,1,weak,0.4,"it's a hack, but it might be too much work so solve the logical error",augmented_dilemmas_dataset_gpt-4.1-mini:4,I think the fastest option is better,Both show preference for quick fixes over thorough solutions.
81,18359,hyperbolic discounting,1,weak,0.4,In the mean time,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,for now,Temporal deferral markers show weak alignment.
82,3523,hyperbolic discounting,1,weak,0.6,for now,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,for now,"Both use 'for now' to defer action, indicating present bias."
83,22145,hyperbolic discounting,0,none,0.0,,,,No analogous cue span found in DevGPT text.
84,26467,hyperbolic discounting,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:3,I think taking quick action is more important.,Both show present-focused reasoning but with opposite emphasis.
85,9631,overconfidence bias,1,weak,0.4,"im almost sure i need to add a library, right?",augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,I’m leaning toward sticking with the current library since it’s worked well…,Weak alignment due to differing confidence expressions.
86,10532,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:6,I feel confident that there won't be any unforeseen issues,Weak alignment due to differing confidence markers.
87,15728,overconfidence bias,1,weak,0.4,Encryption is not a concern because,augmented_dilemmas_dataset_gpt-4.1-mini:7,I believe our current way works fine,Weak alignment on overconfidence in judgment
88,15777,overconfidence bias,1,weak,0.4,how hard can it be to interpret the files?,augmented_dilemmas_dataset_gpt-4.1-mini:6,I’m confident we can keep pushing,DevGPT shows overconfidence in task difficulty; PROBE shows confidence in ongoing actions.
89,15875,overconfidence bias,0,none,0.0,,,,No overconfidence markers present in the technical description.
90,18411,overconfidence bias,1,weak,0.4,I have confidence that it's going to allow me to do whatever I want in the future.,augmented_dilemmas_dataset_gpt-4o-mini:7,We've done it before!,Weak alignment due to overconfidence in future utility of tool.
91,19277,overconfidence bias,0,none,0.0,,,,No overconfidence markers found in the provided DevGPT text.
92,23404,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:4,I’m confident it’s solid,Strong alignment on overconfidence cue 'confident'.
93,35007,overconfidence bias,1,strong,0.9,Im pretty sure,augmented_dilemmas_dataset_gpt-4.1-mini:4,I’m pretty sure,Strong match on overconfidence cue 'pretty sure'
94,35009,overconfidence bias,1,weak,0.4,"the expected value is wrong, it should be 0x11117011, since the last line of the function is",augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,"I’ve also manually tested the feature in a staging environment, and everything seems to work as expected.","Both show confidence in correctness, but surface forms differ."
95,35724,overconfidence bias,1,weak,0.4,You should be able to nail this down perfect,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,I believe is crucial for them to fully appreciate our work,Weak alignment on overconfidence in capability assessment
96,2171,overconfidence bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:6,feel confident,Similar confidence markers but phrasing differs slightly.
0,33855,anchoring bias,0,none,0.0,,,,No analogous cue span found in the provided probe candidates.
1,3793,anchoring bias,0,none,0.0,,,,No analogous cue span found in the probe candidates.
2,8541,anchoring bias,1,weak,0.4,version 4.14,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,previous project,Reference to prior version and project shows anchoring.
3,9146,anchoring bias,1,weak,0.4,the 2nd code shippet,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,code reviews during the coding process,Weak alignment to prior baseline reference.
4,18459,anchoring bias,0,none,0.0,,,,No candidate has an analogous cue span to DevGPT.
5,23952,anchoring bias,1,weak,0.4,The previous version was fine,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,a previous project was successfully rewritten from scratch,Weak alignment on reference to prior project version.
6,35474,availability bias,0,none,0.0,,,,No analogous cue span found in the provided probe candidates.
7,11707,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
8,26208,availability bias,0,none,0.0,,,,No analogous cue span found in the provided candidates.
9,27461,availability bias,0,none,0.0,,,,No analogous cue span found in the candidates.
10,33587,availability bias,0,none,0.0,,,,No matching cue span found between DevGPT and PROBE.
11,1325,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:4,a lot of teams are still swearing by the simplicity and familiarity of Framework A,Weak alignment on popularity cues; both mention widespread adoption.
12,10641,bandwagon effect,0,none,0.0,,,,No popularity/consensus cue in DevGPT text.
13,27454,bandwagon effect,1,strong,0.9,looks like linregress is popular,augmented_dilemmas_dataset_gpt-4o-mini:5,Several popular companies often choose quick fixes,Both use popularity cues to suggest a choice.
14,4038,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:5,Many other teams in the organization have chosen Option B because it’s quicker and doesn’t require extra resources.,"Both mention popularity/consensus, but phrasing differs."
15,7427,bandwagon effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,most teams in similar situations go with the quick fix,"Both mention popularity/consensus, but phrasing differs."
16,1403,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue in DevGPT text.
17,3107,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,so that's what I wou…,"Both use a trailing cue, but the probe is incomplete and less direct."
18,7348,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the candidate.
19,10565,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue span found in DevGPT text.
20,16010,confirmation bias,1,weak,0.4,Ok?,augmented_dilemmas_dataset_gpt-4o-mini:6,right?,Both use question-like cues to seek confirmation.
21,21864,confirmation bias,1,weak,0.4,Shouldn't we check for that above the loop and then short circuit the loop if we the value of find is found just once?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,"From what I recall, most applications I’ve worked with in the past simply check the file extensions, and that has generally worked fine.",Both show a tendency to seek confirmation for their assumptions.
22,22731,confirmation bias,1,weak,0.4,correct me if i'm wrong,augmented_dilemmas_dataset_gpt-4.1-mini:3,Based on what I’ve always done,Both show confirmation-seeking behavior through questioning.
23,24383,confirmation bias,1,weak,0.6,Am I right?,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,"usually works fine, as users don’t need to know about every little technical glitch. I…","Both use confirmation-seeking language, but the surface form differs."
24,30268,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the probe.
25,32856,confirmation bias,1,weak,0.4,Do you agree? Explain your reasoning.,augmented_dilemmas_dataset_gpt-4o-mini:4,I wonder if I should really reconsider.,"Both show confirmation-seeking, but phrasing differs."
26,35383,confirmation bias,1,weak,0.4,I think pg does use ~/.pgpass because it works when I run it locally.,augmented_dilemmas_dataset_gpt-4o-mini:6,"I often think that upgrading the existing server's capacity (Option B) is a straightforward and effective solution, as it feels like a quick…",Both show a tendency to affirm prior beliefs.
27,35496,confirmation bias,1,weak,0.4,I guess it's better than no parallelization regardless of how big the array is right?,augmented_dilemmas_dataset_gpt-4.1-mini:4,"Usually, I find that big functions are easier to track and understand because everything is in one place, so refactoring isn’t always worth…",DevGPT uses a tentative statement to affirm their assumption; PROBE shows similar confirmation-seeking pattern.
28,2311,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue found in the candidate.
29,7465,confirmation bias,1,weak,0.4,right,augmented_dilemmas_dataset_gpt-4o-mini:6,right?,Both use 'right'/'right?' as confirmation-seeking cues.
30,8487,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue span found in DevGPT text.
31,9254,confirmation bias,1,weak,0.6,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,shows how committed I am.,"Both use confirmation-seeking cues, but surface forms differ."
32,11712,confirmation bias,0,none,0.0,,,,No analogous confirmation-seeking cue in the candidate.
33,11830,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,shows how committed I am.,"Both use confirmation-seeking cues, but surface forms differ."
34,15252,confirmation bias,1,weak,0.4,Vad tror du? Låter det bra är det bara att köra på,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,"I’ve heard that adding more hardware is often a quick fix for performance problems, and I’m under pressure","DevGPT uses a confirmation-seeking question, similar in intent to the probe."
35,16292,confirmation bias,1,weak,0.4,is it right?,augmented_dilemmas_dataset_gpt-4o-mini:5,so it seems like a reliable choice.,"Both show confirmation-seeking, but surface forms differ."
36,17802,confirmation bias,1,weak,0.6,you mentioned right?,augmented_dilemmas_dataset_gpt-4o-mini:6,shows how committed I am,Both use confirmation-seeking language but with different phrasing.
37,20191,confirmation bias,1,weak,0.4,am i right,augmented_dilemmas_dataset_gpt-4o-mini:3,is straightforward and effective in case I need to fetch the original passwords la…,DevGPT uses 'Am I right' as confirmation-seeking cue; probe uses a more elaborate justification.
38,24323,confirmation bias,1,weak,0.4,isn't?,augmented_dilemmas_dataset_gpt-4.1-mini:4,so refactoring isn’t always worth…,"Both show confirmation-seeking, but surface forms differ."
39,25225,confirmation bias,1,weak,0.4,should be ok because it works in the command line,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:6,"might seem convenient, I’ve found that they often",Both show reasoning based on prior assumptions.
40,27515,confirmation bias,1,weak,0.4,font la même chose non ?,augmented_dilemmas_dataset_gpt-4.1-mini:7,always provides the most comprehensive picture,"Both show confirmation-seeking, but surface forms differ."
41,31251,confirmation bias,1,weak,0.6,right?,augmented_dilemmas_dataset_gpt-4o-mini:4,"nowadays,…","Both use tag-like cues, but surface forms differ."
42,32858,confirmation bias,1,weak,0.4,right?,augmented_dilemmas_dataset_gpt-4o-mini:6,"right from the start, so that's what I wou…",Weak alignment via 'right?' and confirmation-seeking tone.
43,18183,confirmation bias,1,weak,0.4,but wont setup-python do that?,augmented_dilemmas_dataset_gpt-4.1-mini:3,"In the past, simply upgrading a single powerful server always solved my performance issues without complicating the setup.","Both show confirmation-seeking, but surface forms differ."
44,31249,confirmation bias,1,weak,0.4,Do I understand this correctly?,augmented_dilemmas_dataset_gpt-4o-mini:3,"is so much easier to manage, right?",Both use tag-questions to seek confirmation.
45,32192,confirmation bias,0,none,0.0,,,,No confirmation-seeking cue span found in DevGPT text.
46,474,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:7,worry about the deeper problem later,Partial match on 'worry later' with similar framing structure.
47,1512,framing effect,1,weak,0.4,sounds stupid,augmented_dilemmas_dataset_gpt-4o-mini:3,sounds brave,Weak alignment via evaluative adjective framing.
48,2313,framing effect,1,weak,0.4,I don't want to take that gamble for what I'm building,augmented_dilemmas_dataset_gpt-4o-mini:6,Rush through delivery and only think about documentation later,Weak alignment on risk-avoidance framing.
49,4029,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:6,more exciting to release now,Weak alignment via 'exciting' as evaluative framing cue.
50,8488,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT or PROBE.
51,11638,framing effect,1,weak,0.4,I was so hopeful,augmented_dilemmas_dataset_gpt-4o-mini:3,could slow down feature development right when we need to move fast,Weak alignment via emotional framing and consequence-based language.
52,18455,framing effect,1,weak,0.4,should be enough,augmented_dilemmas_dataset_gpt-4o-mini:6,might just work out fine,Weak alignment via outcome framing and simplification.
53,19490,framing effect,1,weak,0.4,I would rather have something like,augmented_dilemmas_dataset_gpt-4.1-mini:5:,"isn’t shipping fast always wins, isn’t that the way?",Weak alignment on preference framing.
54,19560,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
55,23598,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
56,24417,framing effect,1,weak,0.4,"observer is overkill. When the prop changes, not the dom.",augmented_dilemmas_dataset_gpt-4.1-mini:5,"upfront before any changes, which might slow progress down",Weak alignment on framing progress implications.
57,25733,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,that might not even catch anything important,Both use evaluative language but differ in framing direction.
58,26437,framing effect,1,weak,0.4,perfect css and perfect java script,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,risking being late but ensuring everything is perfect,Weak alignment via evaluative framing of perfection.
59,26439,framing effect,1,weak,0.4,plz have the perfect css and perfect java script support,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,risking being late but ensuring everything is perfect,Weak alignment via 'perfect' and framing of trade-offs.
60,27378,framing effect,1,weak,0.4,why dont you try starting the code fresh and rewirting it,augmented_dilemmas_dataset_gpt-4.1-mini:4,why bother,Weak alignment on 'why' framing cue.
61,834,framing effect,0,none,0.0,,,,No analogous cue span found in DevGPT text.
62,1506,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:7,"what really matters—it’s the thoughtful approach, but does it take too long?",Weak alignment via evaluative framing of approach and time.
63,3627,framing effect,0,none,0.0,,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:4,"keep the project moving, even if it means a few minor",Weak alignment on similar phrasing about project progress vs. perfection.
64,5278,framing effect,0,none,0.0,,,,No analogous cue span found in the provided text.
65,5387,framing effect,1,weak,0.4,exciting,augmented_dilemmas_dataset_gpt-4.1-mini:5,clunky,Weak alignment via evaluative adjectives with opposite valence.
66,20496,framing effect,1,weak,0.4,important to show off complexity and many lines of code,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:3,could delay our exciting new features,"Both use evaluative framing, but cues differ in focus."
67,3185,framing effect,1,weak,0.4,most essential organs,augmented_dilemmas_dataset_deepseek-r1-distill-llama-70b:7,problem for the future,Both use evaluative framing but with different emphasis.
68,5392,framing effect,1,weak,0.4,Add more exciting css,augmented_dilemmas_dataset_gpt-4.1-mini:5,Take a week to add clunky,Weak alignment via opposing evaluative adjectives.
69,5425,framing effect,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:5,Take a week to add clunky,Weak alignment via 'add' and evaluative framing ('exciting' vs 'clunky')
70,35372,framing effect,1,weak,0.4,it's unlikely I'll see any of these new ones you wish me to add,augmented_dilemmas_dataset_gpt-4.1-mini:4,"deferring JavaScript, which sounds complicated and fiddly",Weak alignment via negative framing and reluctance to act.
71,35151,hindsight bias,1,weak,0.4,it is proved that the edge detection prior to the template matching was not a good idea,augmented_dilemmas_dataset_gpt-4.1-mini:5,"Still, some unaccounted-for edge cases triggered failures in production that were not caught by the existing tests",Weak alignment: both mention hindsight issues with uncaught edge cases.
72,3998,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4.1-mini:6,failed repeatedly and caused data inconsistencies,Weak alignment due to self-correction vs outcome-known narrative.
73,27078,hindsight bias,0,none,0.0,,,,No analogous cue span found in the provided candidate probe.
74,27473,hindsight bias,0,none,0.0,,augmented_dilemmas_dataset_gpt-4o-mini:4,"However, shortly after the release, many users expressed frustration with unexpected bugs that impacted their experience",Weak alignment: both mention post-deployment issues but differ in framing.
